COUNTY,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_R_INTERNATIONAL_MIG_2018,beta_Median_Household_Income_2018,beta_Density_per_square_mile_of_land_area_Population,beta_Active_Physicians_per_100000_Population_2018_AAMC,beta_Total_nurse_practitioners_2019,beta_Mean_Annual_Precipitation,beta_Annual_Mean_Range_Temp,beta_Cardiovascular_diseases_Mortality_Rate_2014,beta_Hypertensive_heart_disease_Mortality_Rate_2014,beta_Leukemia_Mortality_Rate_2014,beta_Chronic_respiratory_diseases_Mortality_Rate_2014,beta_Asthma_Mortality_Rate_2014,beta_percent_fair_or_poor_health,beta_percent_smokers,beta_percent_physically_inactive,beta_percent_adults_with_diabetes,beta_percent_insufficient_sleep,se_Intercept,se_R_INTERNATIONAL_MIG_2018,se_Median_Household_Income_2018,se_Density_per_square_mile_of_land_area_Population,se_Active_Physicians_per_100000_Population_2018_AAMC,se_Total_nurse_practitioners_2019,se_Mean_Annual_Precipitation,se_Annual_Mean_Range_Temp,se_Cardiovascular_diseases_Mortality_Rate_2014,se_Hypertensive_heart_disease_Mortality_Rate_2014,se_Leukemia_Mortality_Rate_2014,se_Chronic_respiratory_diseases_Mortality_Rate_2014,se_Asthma_Mortality_Rate_2014,se_percent_fair_or_poor_health,se_percent_smokers,se_percent_physically_inactive,se_percent_adults_with_diabetes,se_percent_insufficient_sleep,t_Intercept,t_R_INTERNATIONAL_MIG_2018,t_Median_Household_Income_2018,t_Density_per_square_mile_of_land_area_Population,t_Active_Physicians_per_100000_Population_2018_AAMC,t_Total_nurse_practitioners_2019,t_Mean_Annual_Precipitation,t_Annual_Mean_Range_Temp,t_Cardiovascular_diseases_Mortality_Rate_2014,t_Hypertensive_heart_disease_Mortality_Rate_2014,t_Leukemia_Mortality_Rate_2014,t_Chronic_respiratory_diseases_Mortality_Rate_2014,t_Asthma_Mortality_Rate_2014,t_percent_fair_or_poor_health,t_percent_smokers,t_percent_physically_inactive,t_percent_adults_with_diabetes,t_percent_insufficient_sleep,p_Intercept,p_R_INTERNATIONAL_MIG_2018,p_Median_Household_Income_2018,p_Density_per_square_mile_of_land_area_Population,p_Active_Physicians_per_100000_Population_2018_AAMC,p_Total_nurse_practitioners_2019,p_Mean_Annual_Precipitation,p_Annual_Mean_Range_Temp,p_Cardiovascular_diseases_Mortality_Rate_2014,p_Hypertensive_heart_disease_Mortality_Rate_2014,p_Leukemia_Mortality_Rate_2014,p_Chronic_respiratory_diseases_Mortality_Rate_2014,p_Asthma_Mortality_Rate_2014,p_percent_fair_or_poor_health,p_percent_smokers,p_percent_physically_inactive,p_percent_adults_with_diabetes,p_percent_insufficient_sleep,sumW
1001,-86.64273861,32.53492738,53.69704129,-8.633661483,48.35670965,5.34033164,0.500634773,0.163867877,5.59E-06,55.86487363,8.899654388,-10.14725842,-71.79807447,26.26200905,1.796533418,18.51159218,30.7244184,25.5043503,19.73985507,-11.92535339,7.100893702,23.75910762,5.446163912,-24.87478495,-12.92438879,1.671162627,5.840356982,16.42763935,4.571857866,10.64710089,42.10058892,15.7757383,18.88603308,9.984074354,15.48299568,8.329940598,3.789407341,6.621444575,6.967006008,6.198347407,14.7236206,16.8804178,6.248236657,5.3152617,9.822891491,3.400663507,1.946616594,-0.953053655,-1.70539359,1.664708716,0.095124975,1.854112011,1.984397531,3.061768568,5.20921962,-1.801019892,1.019217393,3.833135844,0.369892981,-1.473588228,-2.068485798,0.314408344,0.594565967,0.000680644,0.051670012,0.340636431,0.088220202,0.096070907,0.924221646,0.063817084,0.047298676,0.002219015,2.02E-07,0.071795901,0.308178492,0.000129007,0.711487241,0.140692986,0.038676254,0.753231861,0.552176582,69.114943
1003,-87.72629238,30.73461257,37.1807162,-20.32263966,53.17784431,-15.99712811,0.456080946,0.128977212,3.64E-05,103.0246103,5.158871877,-24.48618558,20.46737859,29.47636455,-39.19088343,22.88535226,10.39459261,30.67128882,4.679611907,-9.881485853,-1.975438141,19.95188977,-15.33293087,-10.15311424,-15.27128866,-1.276223596,1.241110737,13.72528667,4.345091245,10.66870766,49.77917138,11.83548131,22.060795,9.627068189,9.273452548,8.043434168,3.084889717,6.340684919,6.928532103,5.177894663,14.34573329,16.06838274,5.753227748,5.445782333,9.248117398,7.506190056,1.187287352,-2.295140738,0.411163505,2.49050831,-1.776494611,2.377188134,1.120897806,3.813208162,1.516946256,-1.558425624,-0.285116402,3.853282284,-1.068814718,-0.631869081,-2.654386255,-0.234350827,0.134201447,7.89E-14,0.235204334,0.021790873,0.680980777,0.012807489,0.07574848,0.017504913,0.262417302,0.000139818,0.129381175,0.11923342,0.775573816,0.000118882,0.285235534,0.527518546,0.00798547,0.814727948,0.893251904,69.43157245
1005,-85.39320474,31.86958207,36.45791137,-62.94371217,71.69598801,-35.23807665,0.517323989,0.218766726,0.000372148,65.40338795,10.31487782,-17.87448486,-99.84119028,34.38633868,4.807413476,25.5366749,9.133115262,19.49561729,26.80554966,-11.58064089,8.116573193,27.62616007,7.149323773,-38.69795408,-8.312066926,2.300579895,9.043536184,13.12627123,4.442185948,9.244335434,40.71782798,17.64588322,17.55881668,12.866414,14.73521161,8.108747799,4.710482151,6.82188213,6.53035259,5.877957544,14.28717936,17.66446031,5.493948423,4.338888278,11.01828676,4.982632676,2.322027475,-1.933560826,-2.452026428,1.948689009,0.273789149,1.98475464,0.619815684,2.40426978,5.690616969,-1.697572703,1.242899688,4.699959103,0.500401345,-2.190723826,-1.512949574,0.530223354,0.820775169,6.61E-07,0.020295275,0.053257155,0.014259644,0.051421754,0.784264717,0.047258891,0.53542423,0.016262532,1.38E-08,0.089687783,0.213997839,2.71E-06,0.616827665,0.028545238,0.130393363,0.595994668,0.41183681,86.9284837
1007,-87.12641248,32.9986358,66.98222738,-4.009104213,105.7391999,-38.75697252,0.499523304,0.12689431,0.000209064,34.256935,8.241910157,-12.07210018,-33.21797784,-11.20739068,-8.194686742,13.89863487,33.13582797,23.93408508,5.36036053,-11.39884752,4.109821877,22.305906,-1.266254601,-15.84791577,-6.336074202,-4.74953119,7.403109043,18.56897995,4.780024977,11.25875075,44.78053544,15.75456237,20.83850408,9.669277122,15.96113231,7.874085505,3.384418168,6.41915844,6.878981681,5.79488279,15.51261385,15.88768957,6.272644476,5.3674943,9.846282395,1.844847433,1.724239977,-1.072241534,-0.741795012,-0.711374294,-0.393247361,1.437401648,2.076032409,3.039601876,1.583835172,-1.775754194,0.59744626,3.849241962,-0.081627417,-0.997496565,-1.010112119,-0.88486935,0.751868446,0.065154094,0.084763202,0.283694171,0.458267163,0.4769053,0.694163558,0.150703795,0.037972347,0.002388492,0.113332194,0.075870517,0.550252667,0.000120851,0.934948214,0.318600598,0.312519605,0.376295026,0.452186671,67.12668053
1009,-86.5673904,33.98085822,44.96247363,-7.537450699,39.31512727,5.647346353,0.506558464,0.12467833,4.34E-06,39.74674597,8.889551072,-1.702235383,1.435750275,-2.365593561,-12.84808597,16.80766397,31.8863309,12.90191424,6.445948743,-4.368205395,3.533288427,22.36552232,12.79103887,-17.66918098,-1.434636671,-1.730989814,-1.866267079,20.68356892,6.289370892,8.865092355,37.77677914,17.54983858,14.49311731,11.07081578,16.21497919,7.814537026,4.803035571,7.033356176,7.172380849,7.826146851,15.66419742,15.29548561,6.098409511,5.258146915,10.26785822,1.921658013,1.413424526,-0.192015527,0.038006159,-0.134792896,-0.886495686,1.518195615,1.966473748,1.651014538,1.342057257,-0.62106984,0.492624207,2.85779487,0.816577992,-1.155189278,-0.235247677,-0.329201493,-0.181758166,0.054739446,0.157630316,0.847742491,0.969685194,0.892784284,0.37541854,0.129066021,0.049332088,0.098835863,0.17967471,0.534598867,0.622312672,0.004294118,0.41423174,0.248101047,0.814031883,0.742025406,0.855784278,67.78133472
1011,-85.71567232,32.10054039,168.3001683,28.87402153,145.6696482,22.63052012,0.522020981,0.231776598,0.000168172,65.82371409,9.621381787,-12.48731373,-92.51348557,43.60354678,5.157634605,24.07856874,18.53280727,20.07697245,26.8224585,-8.015505853,7.0648638,28.22015705,11.51927795,-41.67105027,-10.04325763,2.806102773,8.927713537,13.51992882,4.518459473,9.356472942,40.05949334,17.16131824,17.16704089,11.73233381,14.63839966,8.234052781,4.465855088,6.749836991,6.713049055,5.941879826,14.38257094,17.69959298,5.73025409,4.596815215,10.65267714,4.868643538,2.129350024,-1.334617629,-2.309402288,2.540804044,0.300438185,2.052325575,1.266040531,2.438285616,6.006119315,-1.187511026,1.052407593,4.749365164,0.800919251,-2.354350764,-1.752672302,0.61044498,0.838072291,1.18E-06,0.033303097,0.182098538,0.020986024,0.011107658,0.763862881,0.040220972,0.205592731,0.014812333,2.12E-09,0.235116162,0.292693773,2.13E-06,0.423239146,0.018616511,0.079756111,0.541611371,0.402054055,82.31522749
1013,-86.68030615,31.75244096,210.8185932,81.46590851,132.3448872,78.47370595,0.497614798,0.106018659,0.000683038,67.68333531,9.450403552,-18.27948567,-101.0509177,26.73357392,0.664654305,16.41294197,22.88057881,30.39980163,20.91741007,-14.52993604,4.233400895,22.52126908,-9.350355169,-13.49070906,-17.33631877,3.142347321,5.3239433,14.28536103,4.480573767,10.88112364,46.51187857,14.27846589,19.16175975,10.14909297,13.81275029,8.56731349,3.831527285,6.59709404,6.968785478,5.721708614,14.36379638,16.60748272,6.093914852,4.97603443,9.237005021,4.737950631,2.109194948,-1.67992629,-2.172583021,1.872300156,0.034686496,1.617183134,1.656482477,3.548347059,5.459287775,-2.202475204,0.607480444,3.936109055,-0.650966842,-0.812327147,-2.844857402,0.631496298,0.57637116,2.25E-06,0.035006926,0.093071388,0.029886465,0.061258199,0.972331939,0.105939459,0.097724318,0.00039335,5.15E-08,0.027704366,0.543576157,8.46E-05,0.515115645,0.416665674,0.004471978,0.527762154,0.56440575,73.46329767
1015,-85.8260412,33.77142182,58.97627745,-10.66571438,63.78206053,-4.805783081,0.484461267,0.138844501,3.62E-06,41.48793684,9.068192362,-1.395391724,-27.42442204,12.33015498,-7.438701955,23.38287306,33.09165082,10.79203552,10.55982875,-4.022841257,6.646658606,27.99744123,19.12275944,-36.73278896,-2.264295764,-3.609152091,4.458496855,19.2746925,4.658302111,8.398770112,37.3270512,20.92275256,14.79864456,10.22184183,15.26488017,8.006575595,6.006362515,7.334322896,7.279280533,7.495663741,16.0491261,16.07259042,6.212793023,5.003524427,10.7931706,2.152456484,1.946673304,-0.166142388,-0.734706363,0.589318014,-0.502661032,2.287540098,2.167829059,1.347896537,1.758107128,-0.548495248,0.913092795,3.735151709,1.191514063,-2.285430537,-0.364456977,-0.721321969,0.413084998,0.031437593,0.051663205,0.868055621,0.462573348,0.555690467,0.615237952,0.022230694,0.030246783,0.177789143,0.078826949,0.583390985,0.36126402,0.000190945,0.23354212,0.022354127,0.715541399,0.470765284,0.679572618,74.14275864
1017,-85.39206997,32.91436556,144.3435376,57.63978434,114.1228399,30.22069775,0.531947026,0.125455312,0.000125258,69.41642415,7.589403656,-3.928509868,-77.19929227,63.50145075,6.299550705,25.10922403,26.18901268,11.17471351,20.20174315,-3.993010802,10.17409232,31.42130687,32.58386215,-59.87195493,-4.448516515,-1.63876835,11.72447242,18.11466361,4.556389126,8.659527252,39.7920429,23.68544864,16.73192846,10.23547475,14.78041725,7.744286079,4.943257664,7.080719062,6.937991807,6.207240295,15.31126222,19.00891669,5.917806605,4.580335771,11.51443665,3.832057036,1.665661875,-0.453663318,-1.940068583,2.681032212,0.376498783,2.453156756,1.771872353,1.442962385,4.086726713,-0.563927303,1.466431873,5.062041322,2.128097715,-3.149677381,-0.751717116,-0.357783453,1.018241081,0.000129572,0.095880786,0.650102604,0.052461009,0.007378022,0.706571623,0.014215,0.076512958,0.149131068,4.48E-05,0.572843984,0.142631061,4.39E-07,0.033406854,0.001649908,0.452277678,0.720529483,0.308642048,80.42990616
1019,-85.60394138,34.17416111,57.26065048,13.06613849,67.80278969,-10.54213921,0.428921308,0.088224684,9.86E-06,49.96561019,10.00909944,-5.251328442,-21.21323213,4.176430491,-7.25304855,15.01373062,28.10349311,5.999775921,6.547706916,-2.206898591,5.025307309,23.25250076,9.541050906,-24.12603452,-0.677803212,-3.870458332,2.212042891,20.26164397,5.427470119,8.030495563,35.39330696,22.39059969,13.26994317,11.15713564,14.48067148,8.133856062,6.497769231,7.681019858,7.244423394,7.998031553,15.79774022,15.37881076,6.159100187,4.845957538,10.8396315,2.466019552,1.844155605,-0.653923335,-0.599357165,0.186526067,-0.546577213,1.345661746,1.940758974,0.73762996,1.007685358,-0.287318433,0.693679405,2.907277947,0.603950361,-1.568784147,-0.110049064,-0.798698359,0.204069935,0.013715592,0.065254855,0.513209207,0.548978087,0.85204432,0.584708163,0.178509033,0.052377136,0.460794602,0.313683379,0.773887517,0.487934726,0.003671504,0.545920386,0.11679926,0.912377514,0.424525898,0.838312107,78.0837804
