COUNTY,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_R_INTERNATIONAL_MIG_2018,beta_Median_Household_Income_2018,beta_Density_per_square_mile_of_land_area_Population,beta_Active_Physicians_per_100000_Population_2018_AAMC,beta_Total_nurse_practitioners_2019,beta_Mean_Annual_Precipitation,beta_Annual_Mean_Range_Temp,beta_Cardiovascular_diseases_Mortality_Rate_2014,beta_Hypertensive_heart_disease_Mortality_Rate_2014,beta_Leukemia_Mortality_Rate_2014,beta_Chronic_respiratory_diseases_Mortality_Rate_2014,beta_Asthma_Mortality_Rate_2014,beta_percent_fair_or_poor_health,beta_percent_smokers,beta_percent_physically_inactive,beta_percent_adults_with_diabetes,beta_percent_insufficient_sleep,se_Intercept,se_R_INTERNATIONAL_MIG_2018,se_Median_Household_Income_2018,se_Density_per_square_mile_of_land_area_Population,se_Active_Physicians_per_100000_Population_2018_AAMC,se_Total_nurse_practitioners_2019,se_Mean_Annual_Precipitation,se_Annual_Mean_Range_Temp,se_Cardiovascular_diseases_Mortality_Rate_2014,se_Hypertensive_heart_disease_Mortality_Rate_2014,se_Leukemia_Mortality_Rate_2014,se_Chronic_respiratory_diseases_Mortality_Rate_2014,se_Asthma_Mortality_Rate_2014,se_percent_fair_or_poor_health,se_percent_smokers,se_percent_physically_inactive,se_percent_adults_with_diabetes,se_percent_insufficient_sleep,t_Intercept,t_R_INTERNATIONAL_MIG_2018,t_Median_Household_Income_2018,t_Density_per_square_mile_of_land_area_Population,t_Active_Physicians_per_100000_Population_2018_AAMC,t_Total_nurse_practitioners_2019,t_Mean_Annual_Precipitation,t_Annual_Mean_Range_Temp,t_Cardiovascular_diseases_Mortality_Rate_2014,t_Hypertensive_heart_disease_Mortality_Rate_2014,t_Leukemia_Mortality_Rate_2014,t_Chronic_respiratory_diseases_Mortality_Rate_2014,t_Asthma_Mortality_Rate_2014,t_percent_fair_or_poor_health,t_percent_smokers,t_percent_physically_inactive,t_percent_adults_with_diabetes,t_percent_insufficient_sleep,p_Intercept,p_R_INTERNATIONAL_MIG_2018,p_Median_Household_Income_2018,p_Density_per_square_mile_of_land_area_Population,p_Active_Physicians_per_100000_Population_2018_AAMC,p_Total_nurse_practitioners_2019,p_Mean_Annual_Precipitation,p_Annual_Mean_Range_Temp,p_Cardiovascular_diseases_Mortality_Rate_2014,p_Hypertensive_heart_disease_Mortality_Rate_2014,p_Leukemia_Mortality_Rate_2014,p_Chronic_respiratory_diseases_Mortality_Rate_2014,p_Asthma_Mortality_Rate_2014,p_percent_fair_or_poor_health,p_percent_smokers,p_percent_physically_inactive,p_percent_adults_with_diabetes,p_percent_insufficient_sleep,sumW
1001,-86.64273861,32.53492738,39.37783028,11.92917831,42.16518236,-2.787352081,0.704319383,0.429300638,1.26E-05,-43.73928877,-10.33020796,24.60544438,-83.61759523,70.5921157,15.63877509,44.03637452,90.35801207,23.06392737,43.4361943,-2.456637396,12.44620633,20.26084241,62.67969125,-77.58183786,-3.973260762,5.62603061,16.87585887,27.31564184,3.491198454,12.59641362,75.63129465,33.09654882,18.48489854,10.17140821,14.7978082,8.783348822,7.925369934,8.127501608,7.935716935,6.011905404,15.00327058,16.77491669,6.444955163,6.768481128,10.11629837,-1.601254293,-2.958928888,1.95336904,-1.105595185,2.132914706,0.846029804,4.329427511,6.106175376,2.625869453,5.480651964,-0.302262308,1.568378312,3.370119963,4.177735175,-4.624871724,-0.616491606,0.831210209,1.668185165,0.109421457,0.003110229,0.0508648,0.268986693,0.033009262,0.39760075,1.54E-05,1.15E-09,0.008684856,4.57E-08,0.762472179,0.116893887,0.000760453,3.02E-05,3.90E-06,0.537614915,0.405918251,0.095378934,23.05375496
1003,-87.72629238,30.73461257,11.1990109,-12.90768441,24.92635373,-13.72734282,0.743736372,0.376801772,0.000224586,46.89025778,14.91970287,10.45405177,79.77253,12.07836994,-36.29931933,23.90961601,17.33147173,21.18948545,0.188908734,-3.362394509,-18.53526994,17.72684241,-1.920008104,-14.80048457,14.34877983,-7.390026148,13.96692628,17.60546876,11.3534294,13.96078846,38.59966221,10.05067636,19.09876574,11.69676185,8.98868129,8.517031352,4.268896357,7.030702007,6.487820418,6.109595072,15.4916077,16.29654319,7.193287353,6.532959281,9.558656399,2.663391609,1.314114207,0.748815284,2.06666394,1.201746978,-1.900610742,2.044122666,1.928143981,2.487895674,0.044252359,-0.478244492,-2.85693326,2.901475827,-0.123938596,-0.908197794,1.994745813,-1.131191215,1.461180912,0.007775338,0.188904009,0.454024777,0.03884784,0.229552433,0.057444745,0.041024896,0.053927518,0.012901768,0.964706068,0.632509578,0.00430576,0.003739998,0.901371847,0.363843604,0.046157131,0.258061226,0.144066113,23.29447693
1005,-85.39320474,31.86958207,20.2543952,-29.36606033,27.44668559,-7.19229039,0.816008264,0.568943819,0.000194574,8.626432186,-3.993326052,6.391763174,-53.25291017,27.32300095,-12.44577803,40.55341464,31.20740421,34.60935819,43.86600866,-12.98281786,-5.725047457,27.70248583,35.82498855,-51.67914709,-18.89507561,1.017419151,-6.5391075,17.12518676,2.714681913,10.20885133,85.67609744,18.46303646,42.55872933,18.46316213,22.11018749,7.670534912,4.155918027,7.167296311,6.698915198,5.237118747,15.58609079,18.53142253,5.501905152,3.64367473,10.7575107,0.503727773,-1.471010667,0.626100133,-0.621560876,1.479875806,-0.292437726,2.196450118,1.411449099,4.511987571,10.55507071,-1.811396836,-0.854623068,5.289642487,2.298523024,-2.788730708,-3.434278688,0.279228863,-0.607864373,0.614488117,0.14138869,0.531294889,0.534275891,0.139006969,0.769971338,0.028132784,0.158211565,6.66E-06,1.29E-25,0.070175199,0.392825218,1.31E-07,0.021597601,0.005323469,0.000601852,0.780087631,0.543321503,26.43237683
1007,-87.12641248,32.9986358,17.8619273,-11.0120757,41.36075586,-23.49882856,0.682565175,0.427336502,0.000883918,-42.27604073,-21.88603758,2.42482772,72.85311176,3.653517526,-0.848191046,10.47160592,42.09989416,21.29711327,29.85204974,-10.26029616,21.00830454,10.19332391,49.75338448,-63.68629649,-10.48368304,-0.488757085,22.54376228,44.95143221,14.20977337,14.40726197,292.8238268,31.7675506,45.7892408,9.216664731,13.34628586,9.532824197,6.430416288,8.305440111,8.670172862,6.593278417,15.82754137,16.17775771,6.521639184,6.675655792,10.13287253,-0.94048262,-1.540210178,0.168305937,0.248795027,0.115007845,-0.018523807,1.136160013,3.154427726,2.234082243,4.642319938,-1.235370555,2.423054865,1.546017514,3.143468926,-3.936657827,-1.607522701,-0.073214842,2.224814554,0.347042588,0.123610149,0.866353471,0.803535651,0.908446276,0.985222166,0.255976529,0.001623368,0.025547973,3.59E-06,0.216785283,0.015446942,0.122201368,0.001685198,8.44E-05,0.10804055,0.941639831,0.026164677,23.03513158
1009,-86.5673904,33.98085822,5.187977726,-14.22857106,11.27355663,-6.085578907,0.660609017,0.318282211,3.12E-05,15.60540259,-20.91843928,9.447071149,0.854526841,37.85996045,7.04013751,7.456587057,19.37798132,-2.793753062,12.79068804,-2.124439877,16.71870156,14.90598902,41.25312511,-33.4752595,1.151813812,-5.14429998,6.940752371,21.37718768,18.53878864,14.17241644,93.26005495,21.79399764,18.11423895,9.640693277,12.44432544,8.880437075,7.298112619,7.663293898,7.843083262,9.56503766,15.13414293,15.16486125,7.559036682,6.058412517,10.24673128,0.7300026,-1.128360632,0.666581538,0.009162839,1.737173743,0.388652128,0.773449258,1.557174104,-0.314596347,1.752602173,-0.277222811,2.131649123,1.55838268,2.725831605,-2.207422736,0.152375741,-0.849116822,0.677362583,0.46544319,0.259254071,0.505088563,0.992689798,0.082454816,0.697559918,0.439314919,0.11953019,0.753089108,0.079768159,0.78162732,0.033113328,0.119243594,0.006449658,0.027356789,0.878900405,0.395881186,0.498225961,22.36702823
1011,-85.71567232,32.10054039,118.8001188,40.03279635,102.2493635,16.55075533,0.796512027,0.498104642,0.000665394,-34.4713999,-6.802015467,20.65200808,-45.38468327,37.9890269,-37.4618294,20.1995708,94.77262684,22.69752592,49.73987622,-8.553569157,-2.093376712,27.66795129,55.7339653,-69.02070498,-9.856236639,0.279042519,1.286785914,17.36496638,2.699221748,10.2613622,82.05221942,19.93366124,41.28610586,18.79526907,23.18739544,7.376408658,4.170976739,7.453598417,6.894415978,5.587693456,14.43899078,17.13207772,5.382309621,4.056686796,10.61673041,-1.985111814,-2.519991354,2.012599075,-0.553119508,1.905772674,-0.907371345,1.074715703,4.087247621,3.077042904,11.92523462,-1.147575799,-0.303633653,4.951587181,3.859962663,-4.028741063,-1.831228103,0.068785818,0.121203597,0.047219126,0.011785107,0.044242264,0.580221056,0.056771172,0.364280263,0.282584817,4.47E-05,0.002108728,4.28E-32,0.251231374,0.761427178,7.75E-07,0.000115694,5.74E-05,0.067161448,0.945164498,0.90353755,24.62311035
1013,-86.68030615,31.75244096,185.1090086,121.3312026,127.9595658,57.14944285,0.743818207,0.286171117,0.002253255,-18.46858522,-7.840434353,6.701066093,-287.6443132,44.53906784,44.23348095,28.75068103,111.1831326,12.872835,32.44474774,-8.939646959,-22.12311845,17.75775899,9.359516471,-30.68929292,0.930980879,-1.822548042,19.55673823,17.44571204,2.878070465,11.14268992,87.43453964,13.84864171,21.99408649,12.46145616,17.43957529,7.893920598,5.328549851,7.930256815,7.397956628,6.057459539,13.25547173,15.28675754,5.794704275,6.315669645,9.291417977,-1.058631781,-2.724198191,0.601386751,-3.289824757,3.216132584,2.011153361,2.307168654,6.375334875,1.630727702,6.08885131,-1.127283412,-2.990436355,2.931552226,0.706087016,-2.007573734,0.160660637,-0.288575582,2.1048174,0.289849145,0.006481568,0.547625944,0.001013595,0.001312532,0.044394788,0.021110341,2.09E-10,0.103048335,1.28E-09,0.259709028,0.002807484,0.00339715,0.480186543,0.044774355,0.872371055,0.77292528,0.035386672,25.22982835
1015,-85.8260412,33.77142182,11.44315831,-21.57250614,32.30370552,-20.86054721,0.753417574,0.42257053,0.000677488,19.72374235,-11.27047037,-9.101058598,-23.69382764,30.47613439,16.44439793,-8.90448749,18.84683149,-15.4234633,10.40307308,3.151273972,12.73910343,2.108249079,35.56894519,-53.93924373,10.95891195,-3.635342064,21.07566648,35.25235925,18.23222168,11.28028317,40.39712074,34.84405514,13.40219451,17.55431268,14.18522162,9.471522429,6.744796194,8.174041257,8.224266327,10.84927779,15.28088657,18.69369603,8.282935425,6.083816858,10.94473847,0.559501343,-0.618162206,-0.806811182,-0.586522683,0.874643731,1.226992932,-0.507253554,1.328624395,-1.62840382,1.54238509,0.385522152,1.548965333,0.194321605,2.327675494,-2.885424244,1.323071036,-0.597542981,1.925643681,0.575859622,0.536513368,0.419836537,0.557566592,0.381834849,0.219917471,0.612012636,0.184068712,0.103539863,0.123081067,0.699876779,0.121491087,0.845936672,0.01999274,0.003935583,0.185908338,0.550188118,0.054239312,23.23018257
1017,-85.39206997,32.91436556,114.2719673,75.20380962,97.05698823,17.21497905,0.673602294,0.425967286,0.000470614,-86.6057209,-5.54744036,17.61704177,-32.07972226,41.50798202,-1.33456461,66.83579664,105.9320823,6.533616549,20.15013602,-6.298173139,21.84093199,33.11936692,78.9446675,-115.7273797,-10.19228903,-5.728405305,29.59090251,37.31997471,3.643348273,10.1992047,32.5867817,57.39449288,15.61713489,19.63828862,20.76601179,6.636958689,5.649356357,8.66238131,8.120913621,7.370666721,19.85857084,19.26735682,6.060743688,4.82784196,10.33624284,-2.320626463,-1.522621486,1.727295636,-0.98443972,0.723204962,-0.08545515,3.403341195,5.101224218,0.984429293,3.566802084,-0.727071796,2.689467344,4.493401774,3.97534486,-6.006396245,-1.681689501,-1.186535382,2.862829654,0.020370935,0.127954385,0.084213171,0.324975397,0.469607975,0.931905012,0.000674032,3.58E-07,0.324980521,0.000366775,0.467236315,0.007194558,7.26E-06,7.19E-05,2.11E-09,0.092728759,0.235500932,0.004226653,24.55021346
1019,-85.60394138,34.17416111,30.53901359,17.00299731,25.98952942,4.549484173,0.652343524,0.330284126,1.87E-05,35.35014478,1.669114361,-3.652243368,-6.956840607,4.066851644,6.800615648,-16.29388215,5.464092879,-6.617270954,1.126518834,-1.318898734,3.092163115,2.150841582,5.958545828,-4.118398272,8.781883776,-1.57554059,2.136703741,32.64527912,19.3936533,9.232936206,41.64619588,25.80722728,10.42599476,17.30606045,14.21462649,8.378735392,6.234668387,8.414159627,8.118546388,11.18221675,14.66137372,17.32780174,7.679372111,5.931707963,10.94774796,1.082856258,0.086064979,-0.395566837,-0.167046244,0.157585765,0.652274992,-0.941513073,0.384399329,-0.789769654,0.180686247,-0.156747529,0.380876448,0.19234483,0.406411155,-0.23767575,1.143567944,-0.265613311,0.195172902,0.278955588,0.931420264,0.692451547,0.867344446,0.87479338,0.514271656,0.346514605,0.700708595,0.429722091,0.856625545,0.87545393,0.703320761,0.847484575,0.684468292,0.81214814,0.252890259,0.790554515,0.845270252,24.30116201
