COUNTY,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_R_INTERNATIONAL_MIG_2018,beta_Median_Household_Income_2018,beta_Density_per_square_mile_of_land_area_Population,beta_Active_Physicians_per_100000_Population_2018_AAMC,beta_Total_nurse_practitioners_2019,beta_Mean_Annual_Precipitation,beta_Annual_Mean_Range_Temp,beta_Cardiovascular_diseases_Mortality_Rate_2014,beta_Hypertensive_heart_disease_Mortality_Rate_2014,beta_Leukemia_Mortality_Rate_2014,beta_Chronic_respiratory_diseases_Mortality_Rate_2014,beta_Asthma_Mortality_Rate_2014,beta_percent_fair_or_poor_health,beta_percent_smokers,beta_percent_physically_inactive,beta_percent_adults_with_diabetes,beta_percent_insufficient_sleep,se_Intercept,se_R_INTERNATIONAL_MIG_2018,se_Median_Household_Income_2018,se_Density_per_square_mile_of_land_area_Population,se_Active_Physicians_per_100000_Population_2018_AAMC,se_Total_nurse_practitioners_2019,se_Mean_Annual_Precipitation,se_Annual_Mean_Range_Temp,se_Cardiovascular_diseases_Mortality_Rate_2014,se_Hypertensive_heart_disease_Mortality_Rate_2014,se_Leukemia_Mortality_Rate_2014,se_Chronic_respiratory_diseases_Mortality_Rate_2014,se_Asthma_Mortality_Rate_2014,se_percent_fair_or_poor_health,se_percent_smokers,se_percent_physically_inactive,se_percent_adults_with_diabetes,se_percent_insufficient_sleep,t_Intercept,t_R_INTERNATIONAL_MIG_2018,t_Median_Household_Income_2018,t_Density_per_square_mile_of_land_area_Population,t_Active_Physicians_per_100000_Population_2018_AAMC,t_Total_nurse_practitioners_2019,t_Mean_Annual_Precipitation,t_Annual_Mean_Range_Temp,t_Cardiovascular_diseases_Mortality_Rate_2014,t_Hypertensive_heart_disease_Mortality_Rate_2014,t_Leukemia_Mortality_Rate_2014,t_Chronic_respiratory_diseases_Mortality_Rate_2014,t_Asthma_Mortality_Rate_2014,t_percent_fair_or_poor_health,t_percent_smokers,t_percent_physically_inactive,t_percent_adults_with_diabetes,t_percent_insufficient_sleep,p_Intercept,p_R_INTERNATIONAL_MIG_2018,p_Median_Household_Income_2018,p_Density_per_square_mile_of_land_area_Population,p_Active_Physicians_per_100000_Population_2018_AAMC,p_Total_nurse_practitioners_2019,p_Mean_Annual_Precipitation,p_Annual_Mean_Range_Temp,p_Cardiovascular_diseases_Mortality_Rate_2014,p_Hypertensive_heart_disease_Mortality_Rate_2014,p_Leukemia_Mortality_Rate_2014,p_Chronic_respiratory_diseases_Mortality_Rate_2014,p_Asthma_Mortality_Rate_2014,p_percent_fair_or_poor_health,p_percent_smokers,p_percent_physically_inactive,p_percent_adults_with_diabetes,p_percent_insufficient_sleep,sumW
1001,-86.64273861,32.53492738,137.822406,-18.35259513,185.8414936,-48.01908759,0.714904238,0.40833284,0.000460063,-22.14737097,1.009778482,9.695081755,-256.6917466,-52.52471813,21.44909636,60.35585931,85.67695731,68.28798407,-19.27570155,-6.824112503,37.45300231,45.92857964,58.44323104,-109.5746081,-23.43417917,1.816311637,12.79528423,57.42442129,8.53480209,32.72263868,194.5137426,61.32231699,47.78081781,25.87305417,38.15590828,22.88559221,19.57793194,21.04070506,20.3970293,15.6267401,39.16165174,44.16665482,16.74954324,17.65494377,26.33854475,-0.38567861,0.118313052,0.296280561,-1.319658669,-0.85653512,0.448906012,2.332769023,2.245444052,2.983885382,-0.984562701,-0.324329079,1.836198878,2.939101781,1.492358683,-2.480935188,-1.399093625,0.102878359,0.485800729,0.6997609,0.905827203,0.767035473,0.187045457,0.391767383,0.653530516,0.019723292,0.024809119,0.002868119,0.324914969,0.745710564,0.066422982,0.00331571,0.135705858,0.013155946,0.161883932,0.9180661,0.627142441,24.73584545
1003,-87.72629238,30.73461257,104.8227421,-37.03744992,117.4222444,-12.59950233,0.694772064,0.361679072,2.41E-05,191.4204152,-3.636232178,-24.95362159,33.18708991,10.7805966,-34.12476883,10.48836924,36.44128765,17.08124919,-9.919200543,-2.904533593,3.169728295,50.72236735,-47.99309695,28.76128188,8.17094212,-1.331578751,-15.53666116,46.8421215,30.12378493,37.00673049,101.5070179,26.89005309,51.68714683,31.07932002,23.60338087,22.63514693,11.37955398,18.5268465,17.35533153,16.29405018,40.8912395,43.04104465,18.64750035,17.29547831,25.56711567,4.086501829,-0.120709671,-0.674299547,0.326943798,0.40091392,-0.660217693,0.337471001,1.543901183,0.754633899,-0.871668658,-0.156774311,0.18263715,3.112937961,-1.173676747,0.668229178,0.43817895,-0.076989993,-0.60768142,4.49E-05,0.903928741,0.500170657,0.743732242,0.688510848,0.50916269,0.735784484,0.122713301,0.450525414,0.383455975,0.875432824,0.855094553,0.001869063,0.24061377,0.504036554,0.661286785,0.938636424,0.543442845,24.30883408
1005,-85.39320474,31.86958207,182.2895568,3.513013334,161.6365298,20.65302701,0.70585474,0.552329304,0.000201084,120.1667805,10.4617868,-1.707490087,-41.46913914,-24.25965101,-24.47816899,20.89329202,-49.52915939,64.0857138,30.86548395,-26.93929512,45.50576687,32.36285375,37.29807444,-43.09766032,-17.03468011,12.55301714,-28.83670053,45.49577348,7.35241477,27.13946803,230.0908433,48.78785407,113.3387081,48.47475989,58.33302617,20.51888689,11.06222731,19.01469438,17.89203348,13.97565264,41.23892818,49.02054245,14.58747754,9.737397758,28.66780458,2.641273491,1.422904872,-0.062915385,-0.18022942,-0.497247757,-0.215973602,0.431013832,-0.849075775,3.123254888,2.790169021,-1.416761931,2.54335355,2.315659568,0.904438502,-0.879175508,-1.167760503,1.289155219,-1.005891485,0.008300545,0.154863327,0.949837898,0.856984123,0.619049252,0.829022389,0.666487974,0.395904021,0.001804964,0.005299936,0.156651998,0.011027098,0.020641155,0.365832492,0.379373568,0.242992272,0.19743933,0.314545478,27.58324062
1007,-87.12641248,32.9986358,236.6705368,51.72945998,251.9560958,-15.28555907,0.701058303,0.412828694,4.79E-05,-43.46293934,-26.40650827,2.341283031,-531.9411331,-86.34286263,74.57441392,28.09571631,48.36138525,64.5085953,-7.109523671,-3.332013626,38.61013877,34.54592706,38.02440174,-84.56046471,-30.77551538,0.327261278,20.26053301,116.148792,37.82812898,38.28791009,777.7981955,82.88515531,121.6619448,24.60395664,35.86544256,25.32878968,17.05529087,22.06313943,22.99666629,17.434643,42.04071542,43.29259126,17.27232174,17.69180212,27.08671832,-0.374200528,-0.698065407,0.061149408,-0.68390636,-1.041716847,0.612964177,1.141918624,1.34841178,2.546848709,-0.416851505,-0.151021736,1.678945039,1.981453079,0.904466096,-1.953231771,-1.781782198,0.018497905,0.747987732,0.708280462,0.485188112,0.951244123,0.494084893,0.297623379,0.539944532,0.25357514,0.177623476,0.010917501,0.676815594,0.879968295,0.093262506,0.047627795,0.365817869,0.050881064,0.074881621,0.985242827,0.454523716,23.92832535
1009,-86.5673904,33.98085822,193.6845018,58.44442904,164.6845742,28.99992763,0.758281499,0.300536494,8.84E-05,20.50429111,-43.17968311,9.331746238,-33.50939386,-24.25053058,26.04871206,51.62558187,50.87031427,38.71718367,-1.105758463,-7.529748915,10.32029828,3.942271021,49.11800962,-1.355541965,-3.653374578,-3.436006379,4.416683677,56.32032158,49.42882121,37.70680682,211.3361076,56.01534458,46.38683281,25.48677996,33.16901165,23.54798142,19.42438438,20.2601679,20.6787148,24.79158692,40.20544007,40.17226403,19.77677815,16.05919041,27.01237749,0.36406559,-0.873572989,0.247481742,-0.158559719,-0.432926563,0.561554012,2.025582752,1.533669884,1.6441827,-0.056926307,-0.371652839,0.499078322,0.159016485,1.221675712,-0.033743231,-0.184730523,-0.213958879,0.163505922,0.715833606,0.382417814,0.804551642,0.874025989,0.665097932,0.574460099,0.042892197,0.125211887,0.100238831,0.95460753,0.710176483,0.617759261,0.873666138,0.221922228,0.973084056,0.853452364,0.830593052,0.87013066,23.3315221
1011,-85.71567232,32.10054039,287.1002871,81.26909269,231.6271738,55.47311333,0.709888205,0.475600282,0.000910359,69.61191855,5.363565421,27.29729016,-54.25583034,-14.73011153,-66.03612743,38.19292656,12.31656083,65.97096613,22.86129557,-15.50245045,47.48245186,42.33088774,61.27109589,-64.04349437,-17.3858931,9.654147451,-20.33517677,44.07610805,7.266383504,26.30938015,212.0892082,50.68584417,105.6322054,47.44474273,59.54518554,19.2778007,10.91746669,19.15426366,17.96534016,14.64446054,36.74297639,44.13615201,14.1028713,10.54795134,27.291715,1.579357199,0.738134096,1.037549726,-0.255816082,-0.290615886,-0.62515146,0.804998075,0.206843941,3.422120975,2.094011022,-0.809347241,2.643003218,2.890573375,1.667559406,-1.451043905,-1.23279102,0.915262798,-0.745104394,0.11435513,0.460488268,0.299559829,0.798109654,0.77136435,0.5319172,0.420881895,0.836145184,0.000629313,0.036339194,0.41837692,0.008258356,0.003871852,0.095503194,0.146867781,0.217746267,0.360124144,0.456264521,26.915054
1013,-86.68030615,31.75244096,318.7988482,81.12082934,278.8769725,39.9218757,0.701937965,0.264914416,0.000133654,113.4729666,1.064494359,-11.19747795,-456.8084157,46.03689163,62.30632368,50.60300395,81.37451572,51.29557431,-4.893420379,-13.00295417,26.97916197,48.15054081,-16.77489867,-16.43113438,-16.68370324,4.558749883,1.114443506,44.22737874,7.490122114,28.70717269,219.1492733,36.10123301,54.76203613,32.11144189,45.52453471,20.61870679,12.44165914,20.16532477,19.20375477,15.99493233,34.34307539,39.48383121,15.14205225,16.1588616,24.03516266,2.565672437,0.14211976,-0.390058543,-2.08446238,1.2752166,1.13776492,1.575855862,1.787487038,2.487817244,-0.393309311,-0.644817493,1.404889945,3.01036227,-0.488450684,-0.41614843,-1.101812552,0.282120733,0.046367213,0.010343741,0.886994551,0.696519781,0.037198963,0.202327169,0.255305686,0.11516002,0.073955465,0.012904607,0.694117812,0.51909269,0.160153177,0.002630181,0.625264845,0.677329906,0.270627835,0.777869576,0.963020525,27.01474557
1015,-85.8260412,33.77142182,216.539765,50.77464197,249.1037099,-32.56394494,0.76465351,0.391549647,0.000191841,-30.86569777,-34.3551536,20.7330916,49.41812415,-54.85476088,10.62260492,75.69829043,69.54450273,35.85733037,-5.428318865,-11.58297155,6.989187294,-8.117742759,69.58587672,-28.70450578,2.18650493,-5.046818344,15.51919983,83.76583468,47.28802608,27.98572231,105.028477,82.04861686,33.65380544,42.64884035,36.53125651,24.37117383,17.13765471,20.95268284,21.14413512,27.11240719,39.33089129,48.55906697,21.29949257,15.44304294,28.84163409,-0.368475977,-0.726508515,0.740845327,0.470521192,-0.668564115,0.3156435,1.774920251,1.903698624,1.471300916,-0.316748059,-0.552815677,0.330549689,-0.299410624,1.769242304,-0.591125563,0.102655259,-0.326802066,0.538083237,0.712543258,0.467581381,0.458842766,0.638015461,0.50382284,0.752294147,0.076008161,0.057041018,0.141310218,0.751455889,0.580429084,0.741006764,0.764646624,0.076950746,0.55447895,0.918243156,0.743839434,0.590557818,25.17937421
1017,-85.39206997,32.91436556,243.5797197,51.52582538,238.0514516,5.52826811,0.689703718,0.412307714,6.24E-06,-121.0125579,1.35084312,47.81531354,3.168329913,-87.24015843,-20.60458196,108.9241249,129.4346981,58.14587074,-8.043573073,-35.66018886,39.95784938,42.72262153,118.4843173,-124.0883413,-13.3340385,-7.081496372,15.67086565,99.91491052,9.749831783,27.27082078,87.43008311,152.9850258,41.79986492,51.82951104,55.05229926,17.96561184,14.61140321,23.19927391,21.69210707,19.6427238,52.96045151,51.68193389,16.22492732,12.98258821,27.89869974,-1.211156145,0.138550403,1.753350731,0.036238441,-0.570252925,-0.492934176,2.101585038,2.351122475,3.236509352,-0.550499699,-1.537125214,1.842045553,2.174984588,2.237222567,-2.401000349,-0.821824236,-0.545461063,0.561705951,0.225926944,0.889814345,0.07963964,0.971094544,0.568547068,0.622093655,0.035669326,0.01877853,0.001222619,0.582015943,0.124363662,0.065562968,0.029705851,0.025341878,0.016408285,0.411239493,0.585475296,0.57435657,25.21675449
1019,-85.60394138,34.17416111,137.4255612,-0.977827858,166.699697,-29.27413589,0.778089454,0.306370518,9.33E-05,-53.64275963,-45.09634048,7.926368485,88.37453515,-109.911495,-0.166148102,86.72859912,61.92912179,29.22138534,-0.968741366,-18.55095712,-5.489270764,-10.31562604,24.26371604,26.98339213,-1.589787621,-3.753865646,3.137233218,83.22286451,50.47479272,23.91273276,109.350518,68.0356019,27.68233913,44.18639016,37.04371751,22.09780458,16.2816262,22.12237317,21.40663607,29.15839898,38.7942673,45.88633328,20.13119519,15.57045411,29.05732421,-0.644567571,-0.893442807,0.331470626,0.808176649,-1.615499708,-0.006001953,1.962789873,1.671784744,1.322365995,-0.059499055,-0.838560898,-0.256428462,-0.353778891,0.625445916,0.588048558,-0.078971348,-0.241089028,0.107967038,0.51925466,0.371688732,0.740311202,0.419050277,0.106303244,0.995211545,0.049758982,0.094666668,0.186142862,0.952558414,0.401779753,0.797636855,0.723528407,0.531724003,0.556542098,0.937060458,0.809501897,0.914028755,25.77564191
